date|post_id|platform|status|content|text_hash|campaign|topic
2026-03-19|LATE-GAP-A1|twitter|FAILED|1 in 7 Americans live in a pharmacy desert. When your nearest pharmacy is 10+ miles away, knowing exactly what medications you have and when you need refills isn't optional. https://trackmeplus.com|78749dc99042eaf2|gap-fill-mar26|pharmacy-access
2026-03-20|LATE-GAP-A2|twitter|FAILED|Pharmacies are closing across the country. If getting a refill means a 30-minute drive, you can't afford to realize you're out at the last minute. Track your supply. https://trackmeplus.com|3fb4d46e57c5b003|gap-fill-mar26|supply-tracking
2026-03-21|LATE-GAP-A3|twitter|PUBLISHED|MIT built a pill that texts your doctor when you swallow it. Until that exists for everyone, there's a simpler way to track what you take: log it yourself. https://trackmeplus.com|90b98b1fb0e20bb0|gap-fill-mar26|health-tech
2026-03-24|LATE-GAP-A4|twitter|PUBLISHED|Managing a loved one's medications on top of your own life is a lot. We wrote a guide for caregivers who need to stay organized. https://docs.trackmeplus.com/2026/03/17/caregivers-guide-managing-medications.html|d077c89752cb97b8|gap-fill-mar26|caregiver
2026-03-25|LATE-GAP-A5|twitter|PUBLISHED|Nobody teaches you how to manage medications for someone else. You just figure it out. TrackMe+ makes it easier with shared tracking and supply alerts. https://trackmeplus.com|1fe8958a72c4b0eb|gap-fill-mar26|supply-tracking
2026-03-26|LATE-GAP-A6|twitter|PUBLISHED|Tracking medications for a parent or partner? You need your own dashboard, not a shared login. TrackMe+ Family lets up to 4 people track independently. https://trackmeplus.com|29aa00f133b8c4a4|gap-fill-mar26|caregiver
2026-03-27|LATE-GAP-A7|twitter|PUBLISHED|Remembering your own medications is one thing. Keeping track of someone else's on top of that is a full-time mental job. There's a better way than sticky notes. https://trackmeplus.com|e03362411da99e35|gap-fill-mar26|general
2026-03-28|LATE-GAP-A8|twitter|PUBLISHED|53 million Americans are caregivers. If you're one of them and you're managing medications for someone, you deserve a tool that actually helps. https://trackmeplus.com|803ee8b885773d1a|gap-fill-mar26|caregiver
2026-03-31|LATE-GAP-A9|twitter|PUBLISHED|Running out of a medication at the worst possible time is preventable. We wrote about how to track your supply so it never happens again. https://docs.trackmeplus.com/2026/03/24/never-run-out-again-track-medication-supply.html|51dcbc99108fb336|gap-fill-mar26|supply-tracking
2026-04-01|LATE-GAP-A10|twitter|PUBLISHED|TrackMe+ counts down your supply as you log doses. When you're running low, you know before it's a problem. No more pharmacy panic runs. https://trackmeplus.com|0e4ce0a782159b3d|gap-fill-mar26|pharmacy-access
2026-03-24|69c16f09914c547c94e3781f|twitter|SCHEDULED|Lab tracking GLP-1: new weight loss drugs require regular lab work|b267ed7d06cd18fe|march-week4-2026|lab-tracking
2026-03-25|69c16f4b6b7c09a86f13ac4e|twitter|PUBLISHED|Health budget: Medicare capped OOP drug costs at $2100/year|f95ab97c99ec0166|march-week4-2026|health-budget
2026-03-26|69c16f6bc935ea861a51a5ec|twitter|SCHEDULED|Data ownership: your health data export as CSV anytime|2d15f8b3f9711867|march-week4-2026|data-ownership
2026-03-27|69c16f8ac935ea861a51a921|twitter|SCHEDULED|Blog promo: guide to switching medication trackers|78e6819d94a3134c|march-week4-2026|blog-promo
2026-03-30|69c17077816dece94da51eb7|twitter|SCHEDULED|All-in-one: one app for meds labs BP and health spending|f94c86fba7acd543|march-week4-2026|all-in-one
2026-03-31|69c1b7d2f477fd588dce991d|twitter|SCHEDULED|Washout windows matter. Dose too soon and you're guessing. TrackMe+ Dose Cycles logs active cycles, tracks when washout starts, and lets you rate effectiveness when you close out. A real record of what worked and when. trackmeplus.com|2c748a291601030e|march-week4-2026|dose-cycles
